year,indfortour,intpop,intfortour,hotelrev,indpop,indexport,indimport,indforinv,indforres,indpastra,stattourexp,indtourexp,indcrim,inddep,forbankprof
2000,2638813,6144322697,1332379078.84286,364920.64351701,1001,36822.4,49670.7,5181,1659130,5886514,712.5,1323.4,176.7,3117974,27536.7
2001,2537282,6226339538,1299004507.5794,390347.68854045,1019,44560.3,50536.5,5860,1972040,6018591,524.7,1500.8,172.3,3579052,31051.4
2002,2384364,6308092739,1319581840.28965,420988.45754387,1040,43826.7,51413.3,8151,2640360,5830289,991.5,1746.3,169.5,4123163,35130
2003,2726214,6389383352,1300066793.0465,445024.2155347,1056,52719.4,61412.1,6014,3614700,6373862,961.7,3018.9,160.7,4161575,37284.2
2004,3457477,6470821068,1436450364.25948,483368.64287428,1072,63842.6,78149.1,15699,4901290,7040851,1245.7,4057.2,168.8,4955244,49874.5
2005,3918610,6552571570,1501611341.31288,538520.77257554,1089,83535.9,111517.4,13103,6191160,8362204,2310.6,4991.2,165.3,4962309,45773.007
2006,4447167,6634935638,1683029831.5264,616003.38019468,1106,103090.5,149165.7,16261,6763870,9736531,3325.3,8002.7,167.7,6073303,66584.401
2007,5081504,6717641730,1739388599.52882,689938.79011322,1122,126414.1,185735.2,14640,8682220,13124178,4305.4,8343.2,175.1,7339375,96194.68
2008,5282603,6801408360,1750746690.46876,759225.40429836,1138,162904.2,251439.2,43325,12379650,14116845,4973.6,9906.9,181.5,6989719,140474.181
2009,5167699,6885490816,1687198487.93653,726308.32461432,1154,185295,303696.312296,8311,12838650,14116845,6631.4,10294.1,181.4,6665865,200984.743
2010,5775692,6969631901,1755720045.79761,724247.92417285,1170,178751.43128,288372.87,50361,12596650,15700668,7904.5,10029.7,187.6,8280194,163011.683
2011,6309222,7053533350,1792688016.34094,844334.21603555,1186,251136.2,369769.11,41597,13610130,17348027,7870.9,10545.3,192.2,9835221,163135.997
2012,6577745,7140895722,1881196824.91292,899008.3228622,1220,305963.88,489319.53,39032,15061390,18882428,11885.1,11140.9,196.7,10412854,185734.435
2013,6967601,7229184551,1952484358.48149,929550,1235,300400.582293,490736.648752,46708,15884200,19802245,13513.6,8369.1,215.5,10775570,204316.87
2014,7679099,7317508753,2012330419.01591,925650,1251,314415.729318,450213.632724,26385,18283800,21170370,16532.8,8864.4,229.2,11484956,227366.282
2015,8027133,7404910892,2071785909.76065,982012.82444707,1267,310352.009102,448033.408352,73458,21376400,22438105,20350.4,9433.1,234.2,12843838,252987.707
2016,8804411,7491934113,2140443306.01389,1113046.03263389,1283,262291.085667,381007.755498,31890,23787400,24431931,21113.7,8782.5,233.6,12524188,245262.828
2017,10035803,7578157615,2248870723.88107,1210921.9400072,1299,275852.432515,384357.028321,43224,23982000,26996263,23185.6,16311.9,237.7,13379452,266088.511
2018,10557976,7661776338,2339399881.49679,1321908.54169518,1314,303526.161083,465580.990117,52401,27608500,30117721,23721.82,17657,236.7,14292672,242375.445
2019,10930355,7742681934,2403074088.46029,1445436.15057071,1327,330078.092546,514078.417797,30095,28558815,31630713,26263.07885,20906.2,241.1,15760664,267275.83372
